,ENT_LOC,ENT_LOC_U,ENT_MISC,ENT_MISC_U,ENT_ORG,ENT_ORG_U,ENT_PER,ENT_PER_U,POS_ADJ,POS_ADP,POS_ADV,POS_AUX,POS_CCONJ,POS_DET,POS_INTJ,POS_NOUN,POS_NUM,POS_PART,POS_PRON,POS_PROPN,POS_SCONJ,POS_SYM,POS_VERB,POS_X,adj_mod_nounc,nphrases,nphrases_length,objects_exc,objects_exc_u,objects_inc,objects_inc_u,stopwords,wordcount
1899_Hancke_RuthErlandsen.0,70.0,38.0,46,35,31.0,20.0,915,76,6775,11192,14044,5593,4293,6170,677,14028,236,1593,16571,1176,1801,3392,14445,598,3361,6108,15210,2133,1096,575,216,54529,102584
1899_HansenJ_Neropolis.0,181.0,71.0,234,124,53.0,37.0,1305,210,4584,6334,6549,3254,2039,4257,119,10247,219,747,6742,1794,973,2263,7943,377,2353,4496,10974,1503,1006,420,195,27197,58441
1899_HenningsenA_Glansbilledet.0,85.0,47.0,41,28,12.0,12.0,1959,126,2384,3711,5187,2524,1903,1841,177,4493,162,484,7168,3116,837,3938,7162,746,951,2768,6544,545,315,205,94,21598,45833
1899_HenningsenA_Stroemmen.0,87.0,47.0,31,27,20.0,14.0,971,115,2907,4949,6848,3272,2378,2514,232,6089,149,664,9966,1536,990,3580,8842,225,1340,3139,7477,819,439,342,166,28495,55141
1899_Hornbeck_TomBosOgJeg.0,134.0,61.0,63,43,23.0,14.0,895,52,2703,4833,4699,1718,2131,2775,169,6829,367,737,4786,1207,842,1486,6001,349,1508,2912,7208,1071,769,389,200,19372,41632
1899_IbsenA_JacobLinde.0,153.0,81.0,76,61,54.0,34.0,1862,182,3695,7477,6804,2688,3100,4091,480,10972,440,643,8031,2498,1222,4618,8776,324,2116,4476,10677,1547,976,543,245,30116,65859
1899_JensenH_Spoegeri.0,147.0,83.0,53,49,26.0,24.0,426,141,2201,3219,4494,1467,1435,2104,251,5282,107,343,3249,766,474,1543,3823,307,1190,2162,5385,703,546,234,157,14719,31065
1899_Kaarsberg_TrangeStier.0,107.0,76.0,90,73,33.0,30.0,1177,246,4833,6028,6303,2761,3488,4006,241,10251,128,430,6398,1849,1062,5011,7764,746,2985,5015,13135,1464,1010,451,243,26679,61299
1899_Keller_Situationer.0,26.0,14.0,5,5,2.0,2.0,380,42,987,1351,2217,848,783,915,175,2042,46,145,2737,423,342,346,2242,206,553,989,2528,232,159,111,61,8347,15805
1899_Kirkegaard_Provstinden.0,76.0,53.0,68,55,59.0,27.0,882,163,2430,3796,4139,1853,1371,2198,239,6166,110,382,3927,1191,641,2439,4810,501,1475,2535,6423,864,663,300,181,16258,36193
1899_KragT_Enken.0,157.0,81.0,105,74,66.0,29.0,2049,212,5586,7432,11503,5441,4176,4409,831,10474,252,854,13703,2446,1980,2459,12584,871,2352,4569,10861,1489,946,589,230,43639,85001
1899_KragV_Marianne.0,37.0,22.0,15,11,4.0,4.0,418,66,1885,2336,3515,1584,1253,1645,194,3416,40,274,3753,534,555,1068,3709,323,875,1638,4008,448,340,158,89,12877,26084
1899_Langgaard_FriskLuft.0,286.0,124.0,150,118,154.0,88.0,1805,256,6901,10709,11589,4590,2960,6616,501,15434,247,1308,9533,2710,1803,5501,11212,842,4710,7522,19735,1692,1114,729,264,42528,92456
1899_LarsenK_IDetGamleVoldkvarter.0,119.0,72.0,49,30,39.0,32.0,645,108,1723,2873,4423,1921,1248,1446,309,4095,130,301,3865,768,513,338,3835,404,894,1633,4059,513,352,199,129,14477,28192
1899_Lemche_FolketsSynder.0,152.0,81.0,85,61,99.0,28.0,1654,188,6843,11430,13363,5824,4414,7130,696,14954,205,1573,16567,2175,1910,6528,15082,797,3471,6967,17057,1999,1163,771,255,55028,109491
1899_LevetzowC_EllensHjem.0,3.0,3.0,5,5,14.0,9.0,636,52,1404,1803,3210,1370,1176,1201,285,3377,48,202,3244,719,399,1650,3527,124,786,1429,3595,544,348,220,130,11321,23739
1899_LieJ_FasteForland.0,146.0,102.0,40,35,28.0,28.0,577,168,2614,4619,5575,2038,2052,2302,409,6615,237,544,5906,900,787,4228,6080,649,1159,2338,5819,1088,838,354,187,20477,45555
1899_Loft_HistorienOmEske.0,278.0,106.0,69,48,28.0,20.0,1717,167,3002,5614,5278,2406,2678,3648,124,9258,175,644,6254,2166,1147,1934,8091,583,1769,4103,9888,1126,717,475,223,24692,53002
1899_Lundgaard_Ismael.0,51.0,39.0,48,37,38.0,23.0,565,105,1911,3103,3319,1587,1070,2050,310,4785,357,347,3791,907,399,3042,4431,1383,996,2027,5018,653,469,263,157,14151,32792
1899_LundM_EnFremmedFugl.0,257.0,111.0,179,86,41.0,20.0,1869,163,7419,10403,16795,6098,4918,5970,754,14285,347,1434,14363,2527,1946,4055,14537,1178,4350,6929,18001,1796,1142,777,303,54303,107029
1899_MadsenJ_KomtesseFlory.0,277.0,98.0,154,77,39.0,33.0,1784,261,4107,4823,6204,2759,2025,2717,205,7496,187,531,5946,2773,1037,2616,7239,337,2497,3703,9942,1057,687,371,200,23779,51002
1899_Muusmann_TrettenTrumfer.0,161.0,63.0,100,69,46.0,38.0,818,119,3204,5350,5540,2778,1815,3283,125,7623,207,687,5758,1552,1126,835,6470,323,1735,3643,8781,967,666,335,182,23265,46676
1899_Nathansen_Sommernat.0,17.0,15.0,4,4,6.0,5.0,418,46,2747,4431,6788,2333,2589,3335,198,6679,45,349,6904,519,940,2119,6821,246,1268,3135,7226,867,371,477,110,23765,47043
1899_NielsenJ_EnLandsbykunstner.0,78.0,33.0,29,22,9.0,7.0,861,78,1699,2846,4090,1844,1790,1524,428,4128,83,359,4395,1222,528,2518,4572,314,854,1809,4463,686,425,283,156,15863,32340
1899_Pontoppidan_LykkePerHansKaerlighed.0,72.0,46.0,51,36,18.0,17.0,573,93,1875,3353,3352,1489,988,2305,72,4548,57,490,3465,768,553,971,3680,241,1075,2246,5533,617,507,174,117,13630,28207
1899_Pontoppidan_LykkePerIDetFremmede.0,151.0,95.0,59,47,31.0,27.0,339,73,1874,3412,3615,1527,1098,2241,72,4855,85,398,3217,598,524,777,3555,164,1070,2164,5232,697,572,197,122,13837,28012
1899_Ravn_InterioererFraVoreBedsteforaeldresOgForaeldresTid.0,260.0,174.0,98,81,21.0,19.0,434,183,3156,4094,3500,1525,1855,2877,68,6974,88,381,2850,757,727,306,4308,191,2319,3211,8621,908,747,316,218,15534,33657
1899_Reumert_Klitrose.0,39.0,29.0,19,18,7.0,4.0,831,58,2025,2879,3454,1587,1433,1666,174,4454,73,299,3976,954,420,1829,4304,230,1082,1939,4947,624,410,218,131,14187,29757
1899_Rosenkrantz_FruenPaaHavreholm.0,240.0,109.0,64,58,41.0,35.0,1083,178,2579,4097,4544,2205,2131,2175,95,5977,121,453,4882,1481,642,1244,5414,221,1270,2373,5806,840,635,262,168,18519,38261
1899_Roth_Provindsliv.0,113.0,71.0,109,92,57.0,42.0,1508,232,7469,10691,11169,3022,2999,7293,659,15010,325,1299,7860,2148,1618,3805,10569,2114,5546,8292,22872,1736,1138,614,260,38329,88050
1899_Schandorph_GamleBilleder.0,360.0,227.0,692,394,120.0,112.0,1836,766,6783,9849,7648,3739,3878,6581,603,16494,243,855,7881,3811,1452,2346,10972,1255,3967,7171,18218,2567,1823,840,409,37133,84390
1899_Skjoldborg_Kragehuset.0,150.0,70.0,63,34,17.0,16.0,919,114,2309,3967,4526,1796,1951,2359,206,6051,162,293,4427,1283,649,2168,5377,430,1181,2455,5926,994,714,377,218,17867,37954
1899_Soederberg_DeUmyndige.0,20.0,17.0,2,2,13.0,12.0,1359,115,544,1011,1803,984,477,614,366,1768,62,109,2707,1806,189,790,2215,308,179,688,1569,240,178,141,79,7695,15753
1899_Stuckenberg_Asmadaeus.0,83.0,63.0,69,27,15.0,11.0,1214,74,2928,6112,7320,2286,3400,3104,400,8017,161,448,8186,1322,625,2132,9130,224,1369,2864,6914,1329,782,473,240,27645,55795
